Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,0,,RON,draft,2021-04-30,balanta apr
101200,0,0,,RON,draft,2021-04-30,balanta apr
106100,0,0,,RON,draft,2021-04-30,balanta apr
106100,0,0,,RON,draft,2021-04-30,balanta apr
117100,32937.5,0,,RON,draft,2021-04-30,balanta apr
117100,0,0,,RON,draft,2021-04-30,balanta apr
121000,78186.51,0,,RON,draft,2021-04-30,balanta apr
121000,0,158102.84,,RON,draft,2021-04-30,balanta apr
205000,0,0,,RON,draft,2021-04-30,balanta apr
205000,0,0,,RON,draft,2021-04-30,balanta apr
214000,0,0,,RON,draft,2021-04-30,balanta apr
214000,0,0,,RON,draft,2021-04-30,balanta apr
267800,59228.24,0,,RON,draft,2021-04-30,balanta apr
267800,0,0,,RON,draft,2021-04-30,balanta apr
280500,0,0,,RON,draft,2021-04-30,balanta apr
280500,0,2003.01,,RON,draft,2021-04-30,balanta apr
281400,0,0,,RON,draft,2021-04-30,balanta apr
281400,0,880.94,,RON,draft,2021-04-30,balanta apr
302800,8221.23,0,,RON,draft,2021-04-30,balanta apr
302800,0,2776.29,,RON,draft,2021-04-30,balanta apr
303000,9543.78,0,,RON,draft,2021-04-30,balanta apr
303000,0,9543.78,,RON,draft,2021-04-30,balanta apr
371000,379424.8,0,,RON,draft,2021-04-30,balanta apr
371000,0,8358.57,,RON,draft,2021-04-30,balanta apr
401000,121754.89,0,,RON,draft,2021-04-30,balanta apr
401000,0,534961.93,,RON,draft,2021-04-30,balanta apr
409000,43590.68,0,,RON,draft,2021-04-30,balanta apr
409000,0,0,,RON,draft,2021-04-30,balanta apr
411100,125171.46,0,,RON,draft,2021-04-30,balanta apr
411100,0,75734.73,,RON,draft,2021-04-30,balanta apr
419000,11340,0,,RON,draft,2021-04-30,balanta apr
419000,0,0,,RON,draft,2021-04-30,balanta apr
421000,21244,0,,RON,draft,2021-04-30,balanta apr
421000,0,22319,,RON,draft,2021-04-30,balanta apr
431500,4688,0,,RON,draft,2021-04-30,balanta apr
431500,0,5581,,RON,draft,2021-04-30,balanta apr
431600,1875,0,,RON,draft,2021-04-30,balanta apr
431600,0,2232,,RON,draft,2021-04-30,balanta apr
436000,422,0,,RON,draft,2021-04-30,balanta apr
436000,0,502,,RON,draft,2021-04-30,balanta apr
438200,0,0,,RON,draft,2021-04-30,balanta apr
438200,0,0,,RON,draft,2021-04-30,balanta apr
441800,7246,0,,RON,draft,2021-04-30,balanta apr
441800,0,0,,RON,draft,2021-04-30,balanta apr
442300,0,0,,RON,draft,2021-04-30,balanta apr
442300,0,0,,RON,draft,2021-04-30,balanta apr
442400,13139.06,0,,RON,draft,2021-04-30,balanta apr
442400,0,0,,RON,draft,2021-04-30,balanta apr
442600,86905.94,0,,RON,draft,2021-04-30,balanta apr
442600,0,86905.94,,RON,draft,2021-04-30,balanta apr
442700,73766.88,0,,RON,draft,2021-04-30,balanta apr
442700,0,73766.88,,RON,draft,2021-04-30,balanta apr
442800,8444.08,0,,RON,draft,2021-04-30,balanta apr
442800,0,8535.6,,RON,draft,2021-04-30,balanta apr
444000,1355,0,,RON,draft,2021-04-30,balanta apr
444000,0,1551,,RON,draft,2021-04-30,balanta apr
446000,2904,0,,RON,draft,2021-04-30,balanta apr
446000,0,1778,,RON,draft,2021-04-30,balanta apr
455100,49.97,0,,RON,draft,2021-04-30,balanta apr
455100,0,0,,RON,draft,2021-04-30,balanta apr
457000,32937.5,0,,RON,draft,2021-04-30,balanta apr
457000,0,32937.5,,RON,draft,2021-04-30,balanta apr
462000,23104.9,0,,RON,draft,2021-04-30,balanta apr
