Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,200,,RON,draft,2020-12-31,initiala
106100,0,40,,RON,draft,2020-12-31,initiala
117100,0,0,,RON,draft,2020-12-31,initiala
121000,0,430600.99,,RON,draft,2020-12-31,initiala
205000,48072.21,0,,RON,draft,2020-12-31,initiala
214000,29738.89,0,,RON,draft,2020-12-31,initiala
281400,0,3022.07,,RON,draft,2020-12-31,initiala
302200,0,0,,RON,draft,2020-12-31,initiala
302800,0,0,,RON,draft,2020-12-31,initiala
303000,0,0,,RON,draft,2020-12-31,initiala
401000,0,924.29,,RON,draft,2020-12-31,initiala
411100,50341.89,0,,RON,draft,2020-12-31,initiala
421000,0,7626,,RON,draft,2020-12-31,initiala
431500,0,7040,,RON,draft,2020-12-31,initiala
431600,0,2815,,RON,draft,2020-12-31,initiala
436000,0,634,,RON,draft,2020-12-31,initiala
438200,29,0,,RON,draft,2020-12-31,initiala
441800,0,2615,,RON,draft,2020-12-31,initiala
442300,0,0,,RON,draft,2020-12-31,initiala
442400,16460.34,0,,RON,draft,2020-12-31,initiala
442600,0,0,,RON,draft,2020-12-31,initiala
442700,0,0,,RON,draft,2020-12-31,initiala
444000,0,1714,,RON,draft,2020-12-31,initiala
446000,0,0,,RON,draft,2020-12-31,initiala
455100,0,27.49,,RON,draft,2020-12-31,initiala
456000,0,0,,RON,draft,2020-12-31,initiala
457000,0,0,,RON,draft,2020-12-31,initiala
461000,0,0,,RON,draft,2020-12-31,initiala
463000,232663.39,0,,RON,draft,2020-12-31,initiala
512100,781.44,0,,RON,draft,2020-12-31,initiala
512400,37298.36,0,,RON,draft,2020-12-31,initiala
531100,35069.41,0,,RON,draft,2020-12-31,initiala
531400,6803.91,0,,RON,draft,2020-12-31,initiala
542000,0,0,,RON,draft,2020-12-31,initiala
581000,0,0,,RON,draft,2020-12-31,initiala
602200,0,0,,RON,draft,2020-12-31,initiala
602800,0,0,,RON,draft,2020-12-31,initiala
603000,0,0,,RON,draft,2020-12-31,initiala
605000,0,0,,RON,draft,2020-12-31,initiala
612000,0,0,,RON,draft,2020-12-31,initiala
613000,0,0,,RON,draft,2020-12-31,initiala
623000,0,0,,RON,draft,2020-12-31,initiala
625000,0,0,,RON,draft,2020-12-31,initiala
626000,0,0,,RON,draft,2020-12-31,initiala
627000,0,0,,RON,draft,2020-12-31,initiala
628000,0,0,,RON,draft,2020-12-31,initiala
635000,0,0,,RON,draft,2020-12-31,initiala
641000,0,0,,RON,draft,2020-12-31,initiala
646000,0,0,,RON,draft,2020-12-31,initiala
658100,0,0,,RON,draft,2020-12-31,initiala
665100,0,0,,RON,draft,2020-12-31,initiala
681100,0,0,,RON,draft,2020-12-31,initiala
698000,0,0,,RON,draft,2020-12-31,initiala
704000,0,0,,RON,draft,2020-12-31,initiala
765100,0,0,,RON,draft,2020-12-31,initiala
