Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,0,,RON,draft,2021-02-28,balanta feb
101200,0,0,,RON,draft,2021-02-28,balanta feb
106100,0,0,,RON,draft,2021-02-28,balanta feb
106100,0,0,,RON,draft,2021-02-28,balanta feb
117100,31315.69,0,,RON,draft,2021-02-28,balanta feb
117100,0,0,,RON,draft,2021-02-28,balanta feb
121000,314938.67,0,,RON,draft,2021-02-28,balanta feb
121000,0,363403.59,,RON,draft,2021-02-28,balanta feb
205000,0,0,,RON,draft,2021-02-28,balanta feb
205000,0,0,,RON,draft,2021-02-28,balanta feb
214000,0,0,,RON,draft,2021-02-28,balanta feb
214000,0,0,,RON,draft,2021-02-28,balanta feb
267800,0,0,,RON,draft,2021-02-28,balanta feb
267800,0,0,,RON,draft,2021-02-28,balanta feb
280500,0,0,,RON,draft,2021-02-28,balanta feb
280500,0,2003.01,,RON,draft,2021-02-28,balanta feb
281400,0,0,,RON,draft,2021-02-28,balanta feb
281400,0,880.93,,RON,draft,2021-02-28,balanta feb
302800,2051.3,0,,RON,draft,2021-02-28,balanta feb
302800,0,2051.3,,RON,draft,2021-02-28,balanta feb
303000,9943.37,0,,RON,draft,2021-02-28,balanta feb
303000,0,9943.37,,RON,draft,2021-02-28,balanta feb
371000,269117.59,0,,RON,draft,2021-02-28,balanta feb
371000,0,269117.59,,RON,draft,2021-02-28,balanta feb
401000,34725.67,0,,RON,draft,2021-02-28,balanta feb
401000,0,293856.48,,RON,draft,2021-02-28,balanta feb
411100,402218.22,0,,RON,draft,2021-02-28,balanta feb
411100,0,66465.37,,RON,draft,2021-02-28,balanta feb
419000,0,0,,RON,draft,2021-02-28,balanta feb
419000,11178.8,0,0,RON,draft,2021-02-28,balanta feb
421000,17359,0,,RON,draft,2021-02-28,balanta feb
421000,0,18514,,RON,draft,2021-02-28,balanta feb
431500,6103,0,,RON,draft,2021-02-28,balanta feb
431500,0,4630,,RON,draft,2021-02-28,balanta feb
431600,2815,0,,RON,draft,2021-02-28,balanta feb
