Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,0,0,RON,draft,2021-01-31,balanta ian
101200,0,0,0,RON,draft,2021-01-31,balanta ian
106100,0,0,0,RON,draft,2021-01-31,balanta ian
106100,0,0,0,RON,draft,2021-01-31,balanta ian
117100,39754.46,0,0,RON,draft,2021-01-31,balanta ian
117100,0,197937.6,0,RON,draft,2021-01-31,balanta ian
121000,471996.47,0,0,RON,draft,2021-01-31,balanta ian
121000,0,78767.1,0,RON,draft,2021-01-31,balanta ian
205000,0,0,0,RON,draft,2021-01-31,balanta ian
205000,0,0,0,RON,draft,2021-01-31,balanta ian
214000,0,0,0,RON,draft,2021-01-31,balanta ian
214000,0,0,0,RON,draft,2021-01-31,balanta ian
267800,16899.34,0,0,RON,draft,2021-01-31,balanta ian
267800,0,0,0,RON,draft,2021-01-31,balanta ian
280500,0,0,0,RON,draft,2021-01-31,balanta ian
280500,0,2003.01,0,RON,draft,2021-01-31,balanta ian
281400,0,0,0,RON,draft,2021-01-31,balanta ian
281400,0,880.93,0,RON,draft,2021-01-31,balanta ian
303000,4153.95,0,0,RON,draft,2021-01-31,balanta ian
303000,0,4153.95,0,RON,draft,2021-01-31,balanta ian
401000,26461.94,0,0,RON,draft,2021-01-31,balanta ian
401000,0,38353.74,0,RON,draft,2021-01-31,balanta ian
411100,197740.57,0,0,RON,draft,2021-01-31,balanta ian
411100,0,181617.09,0,RON,draft,2021-01-31,balanta ian
419000,0,0,0,RON,draft,2021-01-31,balanta ian
419000,0,120271,0,RON,draft,2021-01-31,balanta ian
421000,14332,0,0,RON,draft,2021-01-31,balanta ian
421000,0,16246,0,RON,draft,2021-01-31,balanta ian
431500,0,0,0,RON,draft,2021-01-31,balanta ian
431500,0,4063,0,RON,draft,2021-01-31,balanta ian
431600,0,0,0,RON,draft,2021-01-31,balanta ian
431600,0,1625,0,RON,draft,2021-01-31,balanta ian
436000,0,0,0,RON,draft,2021-01-31,balanta ian
436000,0,366,0,RON,draft,2021-01-31,balanta ian
438200,0,0,0,RON,draft,2021-01-31,balanta ian
438200,0,60,0,RON,draft,2021-01-31,balanta ian
441800,0,0,0,RON,draft,2021-01-31,balanta ian
441800,0,0,0,RON,draft,2021-01-31,balanta ian
442400,888.28,0,0,RON,draft,2021-01-31,balanta ian
442400,0,0,0,RON,draft,2021-01-31,balanta ian
442600,1425.01,0,0,RON,draft,2021-01-31,balanta ian
442600,0,1425.01,0,RON,draft,2021-01-31,balanta ian
442700,41.65,0,0,RON,draft,2021-01-31,balanta ian
442700,0,41.65,0,RON,draft,2021-01-31,balanta ian
442800,429.02,0,0,RON,draft,2021-01-31,balanta ian
442800,0,429.02,0,RON,draft,2021-01-31,balanta ian
444000,0,0,0,RON,draft,2021-01-31,balanta ian
444000,0,1018,0,RON,draft,2021-01-31,balanta ian
446000,0,0,0,RON,draft,2021-01-31,balanta ian
446000,0,1988,0,RON,draft,2021-01-31,balanta ian
455100,124.41,0,0,RON,draft,2021-01-31,balanta ian
