Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,0,0,RON,draft,2021-06-30,balanta iun
101200,0,0,0,RON,draft,2021-06-30,balanta iun
101200,0,0,0,RON,draft,2021-06-30,balanta iun
101200,0,0,0,RON,draft,2021-06-30,balanta iun
101200,0,0,0,RON,draft,2021-06-30,balanta iun
101200,0,0,0,RON,draft,2021-06-30,balanta iun
106100,28590.45,0,0,RON,draft,2021-06-30,balanta iun
106100,0,0,0,RON,draft,2021-06-30,balanta iun
117100,911862.36,0,0,RON,draft,2021-06-30,balanta iun
117100,0,889731.88,0,RON,draft,2021-06-30,balanta iun
121000,22415.71,0,0,RON,draft,2021-06-30,balanta iun
121000,0,110505.11,0,RON,draft,2021-06-30,balanta iun
167000,0,0,0,RON,draft,2021-06-30,balanta iun
167000,0,0,0,RON,draft,2021-06-30,balanta iun
205000,121331.48,0,0,RON,draft,2021-06-30,balanta iun
205000,0,111511.05,0,RON,draft,2021-06-30,balanta iun
213100,2646.97,0,0,RON,draft,2021-06-30,balanta iun
213100,0,0,0,RON,draft,2021-06-30,balanta iun
214000,189177.16,0,0,RON,draft,2021-06-30,balanta iun
214000,0,0,0,RON,draft,2021-06-30,balanta iun
231000,0,0,0,RON,draft,2021-06-30,balanta iun
231000,0,0,0,RON,draft,2021-06-30,balanta iun
267800,0,0,0,RON,draft,2021-06-30,balanta iun
267800,0,2003.01,0,RON,draft,2021-06-30,balanta iun
280500,825.52,0,0,RON,draft,2021-06-30,balanta iun
280500,0,1533.14,0,RON,draft,2021-06-30,balanta iun
281300,0,0,0,RON,draft,2021-06-30,balanta iun
281300,0,990.65,0,RON,draft,2021-06-30,balanta iun
281400,1253524.21,0,0,RON,draft,2021-06-30,balanta iun
281400,0,37172.28,0,RON,draft,2021-06-30,balanta iun
301000,264.06,0,0,RON,draft,2021-06-30,balanta iun
301000,0,264.06,0,RON,draft,2021-06-30,balanta iun
302200,9719.45,0,0,RON,draft,2021-06-30,balanta iun
302200,0,24356.3,0,RON,draft,2021-06-30,balanta iun
302800,41798.93,0,0,RON,draft,2021-06-30,balanta iun
302800,0,41798.93,0,RON,draft,2021-06-30,balanta iun
303000,162017.1,0,0,RON,draft,2021-06-30,balanta iun
303000,0,0,0,RON,draft,2021-06-30,balanta iun
341000,37172.28,0,0,RON,draft,2021-06-30,balanta iun
341000,0,37172.28,0,RON,draft,2021-06-30,balanta iun
345000,451190.73,0,0,RON,draft,2021-06-30,balanta iun
345000,0,1328654.79,0,RON,draft,2021-06-30,balanta iun
371000,3285.4,0,0,RON,draft,2021-06-30,balanta iun
371000,0,0,0,RON,draft,2021-06-30,balanta iun
381000,1157435.76,0,0,RON,draft,2021-06-30,balanta iun
381000,0,1573692.25,0,RON,draft,2021-06-30,balanta iun
401000,24869.82,0,0,RON,draft,2021-06-30,balanta iun
401000,0,13480.72,0,RON,draft,2021-06-30,balanta iun
408000,42098.17,0,0,RON,draft,2021-06-30,balanta iun
408000,0,0,0,RON,draft,2021-06-30,balanta iun
409000,990542.76,0,0,RON,draft,2021-06-30,balanta iun
409000,0,575060.18,0,RON,draft,2021-06-30,balanta iun
411100,11467,0,0,RON,draft,2021-06-30,balanta iun
411100,0,0,0,RON,draft,2021-06-30,balanta iun
419000,45631,0,0,RON,draft,2021-06-30,balanta iun
419000,0,63666,0,RON,draft,2021-06-30,balanta iun
421000,8117,0,0,RON,draft,2021-06-30,balanta iun
421000,0,15920,0,RON,draft,2021-06-30,balanta iun
431500,3247,0,0,RON,draft,2021-06-30,balanta iun
431500,0,6368,0,RON,draft,2021-06-30,balanta iun
431600,730,0,0,RON,draft,2021-06-30,balanta iun
431600,0,1432,0,RON,draft,2021-06-30,balanta iun
436000,0,0,0,RON,draft,2021-06-30,balanta iun
436000,0,0,0,RON,draft,2021-06-30,balanta iun
438200,0,0,0,RON,draft,2021-06-30,balanta iun
438200,0,12933,0,RON,draft,2021-06-30,balanta iun
441800,12069.1,0,0,RON,draft,2021-06-30,balanta iun
441800,0,12069.1,0,RON,draft,2021-06-30,balanta iun
442300,0,0,0,RON,draft,2021-06-30,balanta iun
442300,0,12069.1,0,RON,draft,2021-06-30,balanta iun
442400,255077.19,0,0,RON,draft,2021-06-30,balanta iun
442400,0,255077.19,0,RON,draft,2021-06-30,balanta iun
