Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,0,,RON,draft,2021-05-31,balanta mai
101200,0,0,,RON,draft,2021-05-31,balanta mai
106100,0,0,,RON,draft,2021-05-31,balanta mai
106100,0,0,,RON,draft,2021-05-31,balanta mai
117100,37178.5,0,,RON,draft,2021-05-31,balanta mai
117100,0,0,,RON,draft,2021-05-31,balanta mai
121000,571662.8,0,,RON,draft,2021-05-31,balanta mai
121000,0,603329.34,,RON,draft,2021-05-31,balanta mai
205000,0,0,,RON,draft,2021-05-31,balanta mai
205000,0,0,,RON,draft,2021-05-31,balanta mai
213100,150569.88,0,,RON,draft,2021-05-31,balanta mai
213100,0,0,,RON,draft,2021-05-31,balanta mai
214000,3949.57,0,,RON,draft,2021-05-31,balanta mai
214000,0,0,,RON,draft,2021-05-31,balanta mai
231000,25352.61,0,,RON,draft,2021-05-31,balanta mai
231000,0,0,,RON,draft,2021-05-31,balanta mai
267800,0,0,,RON,draft,2021-05-31,balanta mai
267800,0,0,,RON,draft,2021-05-31,balanta mai
280500,0,0,,RON,draft,2021-05-31,balanta mai
280500,0,2003.01,,RON,draft,2021-05-31,balanta mai
281400,0,0,,RON,draft,2021-05-31,balanta mai
281400,0,880.92,,RON,draft,2021-05-31,balanta mai
301000,18523.37,0,,RON,draft,2021-05-31,balanta mai
301000,0,3750.69,,RON,draft,2021-05-31,balanta mai
302200,198.79,0,,RON,draft,2021-05-31,balanta mai
302200,0,198.79,,RON,draft,2021-05-31,balanta mai
302800,16203.84,0,,RON,draft,2021-05-31,balanta mai
302800,0,6468.77,,RON,draft,2021-05-31,balanta mai
303000,34243.42,0,,RON,draft,2021-05-31,balanta mai
303000,0,34243.42,,RON,draft,2021-05-31,balanta mai
371000,348595.91,0,,RON,draft,2021-05-31,balanta mai
371000,0,440282.96,,RON,draft,2021-05-31,balanta mai
401000,598985.64,0,,RON,draft,2021-05-31,balanta mai
401000,0,698265.52,,RON,draft,2021-05-31,balanta mai
408000,14834.96,0,,RON,draft,2021-05-31,balanta mai
408000,0,0,,RON,draft,2021-05-31,balanta mai
409000,31137.59,0,,RON,draft,2021-05-31,balanta mai
409000,0,0,,RON,draft,2021-05-31,balanta mai
411100,672453.53,0,,RON,draft,2021-05-31,balanta mai
411100,0,432067.34,,RON,draft,2021-05-31,balanta mai
419000,11449.6,0,,RON,draft,2021-05-31,balanta mai
419000,0,0,,RON,draft,2021-05-31,balanta mai
421000,25492,0,,RON,draft,2021-05-31,balanta mai
421000,0,32464,,RON,draft,2021-05-31,balanta mai
431500,5581,0,,RON,draft,2021-05-31,balanta mai
431500,0,8117,,RON,draft,2021-05-31,balanta mai
431600,2232,0,,RON,draft,2021-05-31,balanta mai
431600,0,3247,,RON,draft,2021-05-31,balanta mai
436000,502,0,,RON,draft,2021-05-31,balanta mai
436000,0,730,,RON,draft,2021-05-31,balanta mai
438200,0,0,,RON,draft,2021-05-31,balanta mai
438200,0,0,,RON,draft,2021-05-31,balanta mai
441800,0,0,,RON,draft,2021-05-31,balanta mai
441800,0,0,,RON,draft,2021-05-31,balanta mai
442300,13253.24,0,,RON,draft,2021-05-31,balanta mai
442300,0,13254.05,,RON,draft,2021-05-31,balanta mai
442400,0,0,,RON,draft,2021-05-31,balanta mai
442400,0,13253.24,,RON,draft,2021-05-31,balanta mai
442600,126439.82,0,,RON,draft,2021-05-31,balanta mai
442600,0,126439.82,,RON,draft,2021-05-31,balanta mai
442700,139673.04,0,,RON,draft,2021-05-31,balanta mai
442700,0,139673.04,,RON,draft,2021-05-31,balanta mai
442800,134.18,0,,RON,draft,2021-05-31,balanta mai
442800,0,134.18,,RON,draft,2021-05-31,balanta mai
444000,1551,0,,RON,draft,2021-05-31,balanta mai
444000,0,2223,,RON,draft,2021-05-31,balanta mai
446000,40256,0,,RON,draft,2021-05-31,balanta mai
446000,0,41833,,RON,draft,2021-05-31,balanta mai
455100,255.78,0,,RON,draft,2021-05-31,balanta mai
455100,0,200,,RON,draft,2021-05-31,balanta mai
457000,37178.5,0,,RON,draft,2021-05-31,balanta mai
457000,0,37178.5,,RON,draft,2021-05-31,balanta mai
462000,29142.85,0,,RON,draft,2021-05-31,balanta mai
462000,0,298756.93,,RON,draft,2021-05-31,balanta mai
463000,0,0,,RON,draft,2021-05-31,balanta mai
463000,0,0,,RON,draft,2021-05-31,balanta mai
471000,14827.4,0,,RON,draft,2021-05-31,balanta mai
471000,0,1256.39,,RON,draft,2021-05-31,balanta mai
512100,576420.39,0,,RON,draft,2021-05-31,balanta mai
512100,0,458285.04,,RON,draft,2021-05-31,balanta mai
512400,373413.01,0,,RON,draft,2021-05-31,balanta mai
512400,0,521116.53,,RON,draft,2021-05-31,balanta mai
519100,94000,0,,RON,draft,2021-05-31,balanta mai
519100,0,94000,,RON,draft,2021-05-31,balanta mai
531100,1805,0,,RON,draft,2021-05-31,balanta mai
531100,0,3490.68,,RON,draft,2021-05-31,balanta mai
531400,66.15,0,,RON,draft,2021-05-31,balanta mai
531400,0,0,,RON,draft,2021-05-31,balanta mai
532800,1760.88,0,,RON,draft,2021-05-31,balanta mai
532800,0,2181.09,,RON,draft,2021-05-31,balanta mai
542000,355,0,,RON,draft,2021-05-31,balanta mai
542000,0,355,,RON,draft,2021-05-31,balanta mai
581000,174767,0,,RON,draft,2021-05-31,balanta mai
581000,0,174767,,RON,draft,2021-05-31,balanta mai
601000,3750.69,0,,RON,draft,2021-05-31,balanta mai
601000,0,3750.69,,RON,draft,2021-05-31,balanta mai
602200,198.79,0,,RON,draft,2021-05-31,balanta mai
602200,0,198.79,,RON,draft,2021-05-31,balanta mai
602800,6468.77,0,,RON,draft,2021-05-31,balanta mai
602800,0,6468.77,,RON,draft,2021-05-31,balanta mai
603000,34243.42,0,,RON,draft,2021-05-31,balanta mai
603000,0,34243.42,,RON,draft,2021-05-31,balanta mai
604000,0,0,,RON,draft,2021-05-31,balanta mai
604000,0,0,,RON,draft,2021-05-31,balanta mai
605000,787.59,0,,RON,draft,2021-05-31,balanta mai
605000,0,787.59,,RON,draft,2021-05-31,balanta mai
607000,440282.96,0,,RON,draft,2021-05-31,balanta mai
