Cont,ID_partener,Debit,Credit,Balanta_valuta,Valuta,Data_scadenta,tipul_facturi,State,ref,data
401000,FRAMEWORKS SRL,,0.01,,RON,2021-6-2,entry,draft,23930,2021-6-2
121000,FRAMEWORKS SRL,0.01,,,RON,2021-6-2,entry,draft,23930,2021-6-2
401000,SOFIMAT S.R.L.,,0.17,,RON,2021-6-18,entry,draft,3728,2021-6-18
121000,SOFIMAT S.R.L.,0.17,,,RON,2021-6-18,entry,draft,3728,2021-6-18
401000,SOFIMAT S.R.L.,,0.46,,RON,2021-5-31,entry,draft,3699,2021-5-31
121000,SOFIMAT S.R.L.,0.46,,,RON,2021-5-31,entry,draft,3699,2021-5-31
401000,URBANIA CORESI H1 S.R.L.,,0.67,,RON,2020-12-2,entry,draft,208,2020-12-2
121000,URBANIA CORESI H1 S.R.L.,0.67,,,RON,2020-12-2,entry,draft,208,2020-12-2
401000,FAN COURIER EXPRESS SRL,,27.99,,RON,2021-6-30,entry,draft,6829037,2021-6-30
121000,FAN COURIER EXPRESS SRL,27.99,,,RON,2021-6-30,entry,draft,6829037,2021-6-30
401000,SURUB SHOP SRL,,44.81,,RON,2021-6-30,entry,draft,34957,2021-6-30
121000,SURUB SHOP SRL,44.81,,,RON,2021-6-30,entry,draft,34957,2021-6-30
401000,SIGMA & SETI CONSULT SRL,,197,,RON,2021-6-22,entry,draft,4682,2021-6-22
121000,SIGMA & SETI CONSULT SRL,197,,,RON,2021-6-22,entry,draft,4682,2021-6-22
401000,DACHSER ROMANIA SRL,,238,,RON,2021-6-29,entry,draft,27101,2021-6-29
121000,DACHSER ROMANIA SRL,238,,,RON,2021-6-29,entry,draft,27101,2021-6-29
401000,UPS ROMANIA SRL,,305.18,,RON,2021-6-25,entry,draft,1415257,2021-6-25
121000,UPS ROMANIA SRL,305.18,,,RON,2021-6-25,entry,draft,1415257,2021-6-25
401000,EVEREST ROPACK SRL,,349.15,,RON,2021-6-25,entry,draft,726,2021-6-25
121000,EVEREST ROPACK SRL,349.15,,,RON,2021-6-25,entry,draft,726,2021-6-25
401000,DEDEMAN SRL,,354.23,,RON,2021-6-30,entry,draft,243,2021-6-30
121000,DEDEMAN SRL,354.23,,,RON,2021-6-30,entry,draft,243,2021-6-30
401000,LEROY MERLIN ROMANIA SRL,,363.4,,RON,2021-6-30,entry,draft,257,2021-6-30
121000,LEROY MERLIN ROMANIA SRL,363.4,,,RON,2021-6-30,entry,draft,257,2021-6-30
401000,DACHSER ROMANIA SRL,,386.75,,RON,2021-6-3,entry,draft,11653,2021-6-3
121000,DACHSER ROMANIA SRL,386.75,,,RON,2021-6-3,entry,draft,11653,2021-6-3
401000,HORNBACH CENTRALA SRL,,443.33,,RON,2021-6-30,entry,draft,7860450,2021-6-30
121000,HORNBACH CENTRALA SRL,443.33,,,RON,2021-6-30,entry,draft,7860450,2021-6-30
401000,DAROX EXPEDITII S.R.L.,,452.2,,RON,2021-6-19,entry,draft,310,2021-6-19
121000,DAROX EXPEDITII S.R.L.,452.2,,,RON,2021-6-19,entry,draft,310,2021-6-19
401000,ROMSTAL IMEX SRL,,511.05,,RON,2021-6-30,entry,draft,1045050819,2021-6-30
121000,ROMSTAL IMEX SRL,511.05,,,RON,2021-6-30,entry,draft,1045050819,2021-6-30
401000,POLICLINICA DE DIAGNOSTIC RAPID SA,,591.04,,RON,2021-6-23,entry,draft,26203540,2021-6-23
121000,POLICLINICA DE DIAGNOSTIC RAPID SA,591.04,,,RON,2021-6-23,entry,draft,26203540,2021-6-23
401000,ANCU IONITASOFT DEVELOPMENT SRL-D,,700,,RON,2021-6-29,entry,draft,29,2021-6-29
121000,ANCU IONITASOFT DEVELOPMENT SRL-D,700,,,RON,2021-6-29,entry,draft,29,2021-6-29
401000,UPS ROMANIA SRL,,750.1,,RON,2021-6-14,entry,draft,1413940,2021-6-14
121000,UPS ROMANIA SRL,750.1,,,RON,2021-6-14,entry,draft,1413940,2021-6-14
401000,MARSIPO PROD SRL,,950.66,,RON,2021-6-4,entry,draft,134675,2021-6-4
121000,MARSIPO PROD SRL,950.66,,,RON,2021-6-4,entry,draft,134675,2021-6-4
401000,FAN COURIER EXPRESS SRL,,974.04,,RON,2021-6-16,entry,draft,6793713,2021-6-16
121000,FAN COURIER EXPRESS SRL,974.04,,,RON,2021-6-16,entry,draft,6793713,2021-6-16
401000,ORANGE ROMANIA SA,,1214.88,,RON,2021-6-10,entry,draft,1966,2021-6-10
121000,ORANGE ROMANIA SA,1214.88,,,RON,2021-6-10,entry,draft,1966,2021-6-10
401000,MARBCONT B.C.F. SRL,,1500,,RON,2021-6-30,entry,draft,2542,2021-6-30
121000,MARBCONT B.C.F. SRL,1500,,,RON,2021-6-30,entry,draft,2542,2021-6-30
401000,LEROY MERLIN ROMANIA SRL,,2587.28,,RON,2021-6-30,entry,draft,170177973,2021-6-30
121000,LEROY MERLIN ROMANIA SRL,2587.28,,,RON,2021-6-30,entry,draft,170177973,2021-6-30
401000,IMPULS - LEASING ROMANIA IFN S.A.,,3546.06,,RON,2021-6-29,entry,draft,15926163,2021-6-29
121000,IMPULS - LEASING ROMANIA IFN S.A.,3546.06,,,RON,2021-6-29,entry,draft,15926163,2021-6-29
401000,ORANGE ROMANIA SA,,6656.36,,RON,2021-4-28,entry,draft,1447,2021-4-28
121000,ORANGE ROMANIA SA,6656.36,,,RON,2021-4-28,entry,draft,1447,2021-4-28
401000,SPRINTER 2000 SA,,9710.4,,RON,2021-6-11,entry,draft,1196419,2021-6-11
121000,SPRINTER 2000 SA,9710.4,,,RON,2021-6-11,entry,draft,1196419,2021-6-11
401000,SANTOREL S.R.L.,,10873.27,,RON,2021-6-24,entry,draft,5657,2021-6-24
121000,SANTOREL S.R.L.,10873.27,,,RON,2021-6-24,entry,draft,5657,2021-6-24
401000,MAN EXC CONSULTING SRL,,23451.09,,RON,2021-6-30,entry,draft,2,2021-6-30
121000,MAN EXC CONSULTING SRL,23451.09,,,RON,2021-6-30,entry,draft,2,2021-6-30
401000,IMPULS - LEASING ROMANIA IFN S.A.,,29150.9,,RON,2021-6-29,entry,draft,15926152,2021-6-29
