Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,200,0,RON,draft,2021-06-30,initiala
106100,0,40,0,RON,draft,2021-06-30,initiala
117100,0,0,0,RON,draft,2021-06-30,initiala
121000,0,204216.69,0,RON,draft,2021-06-30,initiala
167000,0,88089.4,0,RON,draft,2021-06-30,initiala
205000,48072.21,0,0,RON,draft,2021-06-30,initiala
213100,160390.31,0,0,RON,draft,2021-06-30,initiala
214000,36335.43,0,0,RON,draft,2021-06-30,initiala
231000,214529.77,0,0,RON,draft,2021-06-30,initiala
267800,105557.21,0,0,RON,draft,2021-06-30,initiala
280500,0,12018.06,0,RON,draft,2021-06-30,initiala
281300,0,707.62,0,RON,draft,2021-06-30,initiala
281400,0,8417.37,0,RON,draft,2021-06-30,initiala
301000,1231124.61,0,0,RON,draft,2021-06-30,initiala
302200,0,0,0,RON,draft,2021-06-30,initiala
302800,543.16,0,0,RON,draft,2021-06-30,initiala
303000,0,0,0,RON,draft,2021-06-30,initiala
341000,162017.1,0,0,RON,draft,2021-06-30,initiala
345000,0,0,0,RON,draft,2021-06-30,initiala
371000,0,0,0,RON,draft,2021-06-30,initiala
381000,3285.4,0,0,RON,draft,2021-06-30,initiala
401000,0,1741726.18,0,RON,draft,2021-06-30,initiala
408000,26224.06,0,0,RON,draft,2021-06-30,initiala
409000,245801,0,0,RON,draft,2021-06-30,initiala
411100,1351733.04,0,0,RON,draft,2021-06-30,initiala
419000,0,63312.8,0,RON,draft,2021-06-30,initiala
421000,0,36912,0,RON,draft,2021-06-30,initiala
431500,0,15920,0,RON,draft,2021-06-30,initiala
431600,0,6368,0,RON,draft,2021-06-30,initiala
436000,0,1432,0,RON,draft,2021-06-30,initiala
438200,0,31,0,RON,draft,2021-06-30,initiala
441800,0,12933,0,RON,draft,2021-06-30,initiala
442300,0,0,0,RON,draft,2021-06-30,initiala
442400,7546.81,0,0,RON,draft,2021-06-30,initiala
442600,0,0,0,RON,draft,2021-06-30,initiala
442700,0,0,0,RON,draft,2021-06-30,initiala
442800,19331.92,0,0,RON,draft,2021-06-30,initiala
444000,0,4466,0,RON,draft,2021-06-30,initiala
446000,0,1430,0,RON,draft,2021-06-30,initiala
455100,0,0,0,RON,draft,2021-06-30,initiala
456000,0,204216.69,0,RON,draft,2021-06-30,initiala
457000,0,0,0,RON,draft,2021-06-30,initiala
461000,4244.55,0,0,RON,draft,2021-06-30,initiala
462000,0,1785620.15,0,RON,draft,2021-06-30,initiala
463000,204216.69,0,0,RON,draft,2021-06-30,initiala
471000,12356.16,0,0,RON,draft,2021-06-30,initiala
473000,0,0,0,RON,draft,2021-06-30,initiala
481000,0,0,0,RON,draft,2021-06-30,initiala
512100,164916.93,0,0,RON,draft,2021-06-30,initiala
512400,232040.7,0,0,RON,draft,2021-06-30,initiala
519100,0,83950.33,0,RON,draft,2021-06-30,initiala
531100,39680.58,0,0,RON,draft,2021-06-30,initiala
531400,7202.22,0,0,RON,draft,2021-06-30,initiala
532800,0,5142.57,0,RON,draft,2021-06-30,initiala
542000,0,0,0,RON,draft,2021-06-30,initiala
581000,0,0,0,RON,draft,2021-06-30,initiala
601000,0,0,0,RON,draft,2021-06-30,initiala
602200,0,0,0,RON,draft,2021-06-30,initiala
602800,0,0,0,RON,draft,2021-06-30,initiala
603000,0,0,0,RON,draft,2021-06-30,initiala
604000,0,0,0,RON,draft,2021-06-30,initiala
605000,0,0,0,RON,draft,2021-06-30,initiala
607000,0,0,0,RON,draft,2021-06-30,initiala
612000,0,0,0,RON,draft,2021-06-30,initiala
613000,0,0,0,RON,draft,2021-06-30,initiala
622000,0,0,0,RON,draft,2021-06-30,initiala
623000,0,0,0,RON,draft,2021-06-30,initiala
625000,0,0,0,RON,draft,2021-06-30,initiala
626000,0,0,0,RON,draft,2021-06-30,initiala
627000,0,0,0,RON,draft,2021-06-30,initiala
628000,0,0,0,RON,draft,2021-06-30,initiala
635000,0,0,0,RON,draft,2021-06-30,initiala
641000,0,0,0,RON,draft,2021-06-30,initiala
642100,0,0,0,RON,draft,2021-06-30,initiala
642200,0,0,0,RON,draft,2021-06-30,initiala
646000,0,0,0,RON,draft,2021-06-30,initiala
658100,0,0,0,RON,draft,2021-06-30,initiala
658200,0,0,0,RON,draft,2021-06-30,initiala
658300,0,0,0,RON,draft,2021-06-30,initiala
665100,0,0,0,RON,draft,2021-06-30,initiala
666000,0,0,0,RON,draft,2021-06-30,initiala
681100,0,0,0,RON,draft,2021-06-30,initiala
698000,0,0,0,RON,draft,2021-06-30,initiala
701500,0,0,0,RON,draft,2021-06-30,initiala
704000,0,0,0,RON,draft,2021-06-30,initiala
707000,0,0,0,RON,draft,2021-06-30,initiala
711000,0,0,0,RON,draft,2021-06-30,initiala
758300,0,0,0,RON,draft,2021-06-30,initiala
765100,0,0,0,RON,draft,2021-06-30,initiala
