Code_bom,ID_Produs,ID_Componenta,Cantitate_Produsa,Cantitate_Necesara
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00178,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00342,1,0.0036
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00459,1,2.5
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00463,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00605,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00609,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00636,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00642,1,2
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00646,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00650,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00653,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00654,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00658,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00659,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00660,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00661,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00662,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00663,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00664,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00667,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00686,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00700,1,0.09
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00708,1,2
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00709,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00710,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00714,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_00726,1,0.7
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_01121,1,4.63
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_06975,1,0.0047
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,E_08050,1,4.45
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00004,1,6
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00013,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00015,1,6
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00017,1,2
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00019,1,16
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00029,1,3
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00057,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00058,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00063,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00073,1,1
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,EVI_00074,1,1
