Code_bom,ID_Produs,Cantitate_Produsa,ID_Componenta,Cantitate_Necesara,Unitatea_Masura
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00178,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00342,,kg
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00459,2.5,m
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00463,1.0,set
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00605,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00609,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00636,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00642,2.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00646,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00650,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00653,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00654,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00658,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00659,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00660,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00661,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00662,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00663,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00664,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00667,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00686,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00700,0.09,kg
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00708,2.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00709,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00710,1.0,set
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00714,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_00726,0.7,m
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_01121,4.63,m
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_06975,,kg
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,E_08050,4.45,m
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00004,6.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00013,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00015,6.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00017,2.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00019,16.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00029,3.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00057,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00058,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00063,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00073,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00074,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00104,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00106,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00130,2.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00152,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00232,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00329,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00246,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00249,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00264,2.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00272,0.71,m
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00273,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00363,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00385,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00390,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00396,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00397,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,EVI_00426,1.0,Units
CTP3R-1R-TL1/1A_1,CTP3R-1R-TL1/1A,1.0,Mpr_03309,0.11,kg
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00178,1.0,Units
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00342,,kg
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00605,1.0,Units
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00636,1.0,Units
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00642,2.0,Units
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00646,1.0,Units
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00650,1.0,Units
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00653,1.0,Units
HIU_PUCTP3R-1R-TL7/1A_1,HIU_PUCTP3R-1R-TL7/1A,1.0,E_00658,1.0,Units
