nume,Categoria_parinte,cont_ven,cont_che,cost_method,cont_valuation,Metoda,Journal,cont_val_input,cont_val_output
Add,,707000,607000,standard,,manual_periodic,Inventory Valuation,,,
All,,707000,607000,standard,,manual_periodic,Inventory Valuation,,,
Alte mat. consumabile,All,,602800,fifo,302800,real_time,Inventory Valuation,302800,302800
Ambalaje,All,708000,608000,fifo,381000,real_time,Inventory Valuation,381000,381000
Amenajari provizorii,All,707000,603000,fifo,323000,real_time,Inventory Valuation,323000,323000
Combustibili,All,,602200,fifo,302200,real_time,Inventory Valuation,302200,302200
Discount comercial iesiri,All,709000,,fifo,709000,real_time,Inventory Valuation,709000,709000
Discount comercial intrari,All,,609000,fifo,609000,real_time,Inventory Valuation,609000,609000
Discount financiar iesiri,All,,667000,fifo,667000,real_time,Inventory Valuation,667000,667000
Discount financiar intrari,All,767000,,fifo,767000,real_time,Inventory Valuation,767000,767000
Marfuri,All,707000,607000,fifo,371000,real_time,Inventory Valuation,371000,371000
Materiale auxiliare,All,,602100,fifo,302100,real_time,Inventory Valuation,302100,302100,
Materiale în pastrare_consig,All,,999000,fifo,803300,real_time,Inventory Valuation,803300,803300
Materiale spre prelucrare,All,,999000,fifo,803200,real_time,Inventory Valuation,803200,803200
Materii prime – comp EVI,All,,601000,fifo,301000,real_time,Inventory Valuation,301000,301000
Materii prime generale ,All,,601000,fifo,301000,real_time,Inventory Valuation,301000,301000
Obiecte de inventar,All,,603000,fifo,303000,real_time,Inventory Valuation,303000,303000
Piese de schimb,All,,602400,fifo,302400,real_time,Inventory Valuation,302400,302400
Produse finite,All,701500,711000,fifo,345000,real_time,Inventory Valuation,345000,345000
Produse reziduale,All,703000,711000,fifo,346000,real_time,Inventory Valuation,346000,346000
Saleable,All,707000,607000,fifo,371000,real_time,Inventory Valuation,371000,371000
Semifabricate,All,702000,711000,fifo,341000,real_time,Inventory Valuation,341000,341000
Servicii vandute,All,704000,,fifo,704000,real_time,Inventory Valuation,704000,704000
