Nume_inventory,Product_ID,Depozit,Cantitatea
98i,EVI_00010,WH/PRODUCTIE MAT PRIME FINITE,1000
99i,BV3405,WH/PRODUCTIE MAT PRIME FINITE,114
100i,BV3402,WH/PRODUCTIE MAT PRIME FINITE,115
101i,BV3401,WH/PRODUCTIE MAT PRIME FINITE,460
102i,BV3403M,WH/PRODUCTIE MAT PRIME FINITE,115
103i,E_200326,WH/PRODUCTIE MAT PRIME FINITE,1
104i,Maux_00002,WH/PRODUCTIE MAT PRIME FINITE,1
105i,E_200109,WH/PRODUCTIE MAT PRIME FINITE,1
106i,E_200281,WH/PRODUCTIE MAT PRIME FINITE,300
107i,E_200108,WH/PRODUCTIE MAT PRIME FINITE,520
108i,E_00178,WH/PRODUCTIE MAT PRIME FINITE,30
109i,E_00145,WH/PRODUCTIE MAT PRIME FINITE,20
110i,E_200088,WH/PRODUCTIE MAT PRIME FINITE,20
111i,E_200251,WH/PRODUCTIE MAT PRIME FINITE,20
112i,E_200149,WH/PRODUCTIE MAT PRIME FINITE,21
113i,E_200012,WH/PRODUCTIE MAT PRIME FINITE,20
114i,E_200010,WH/PRODUCTIE MAT PRIME FINITE,110
115i,Mpr_08041,WH/PRODUCTIE MAT PRIME FINITE,20
116i,E_00177,WH/PRODUCTIE MAT PRIME FINITE,30
117i,E_200223,WH/PRODUCTIE MAT PRIME FINITE,105
118i,E_200226,WH/PRODUCTIE MAT PRIME FINITE,40
119i,E_200235,WH/PRODUCTIE MAT PRIME FINITE,105
120i,E_200227,WH/PRODUCTIE MAT PRIME FINITE,40
121i,E_200224,WH/PRODUCTIE MAT PRIME FINITE,105
122i,E_200228,WH/PRODUCTIE MAT PRIME FINITE,40
123i,E_200225,WH/PRODUCTIE MAT PRIME FINITE,80
124i,E_200234,WH/PRODUCTIE MAT PRIME FINITE,40
125i,E_200011,WH/PRODUCTIE MAT PRIME FINITE,70
126i,E_200014,WH/PRODUCTIE MAT PRIME FINITE,20
127i,E_200256,WH/PRODUCTIE MAT PRIME FINITE,402
128i,E_200284,WH/PRODUCTIE MAT PRIME FINITE,900
129i,E_200286,WH/PRODUCTIE MAT PRIME FINITE,200
130i,E_200285,WH/PRODUCTIE MAT PRIME FINITE,200
131i,E_200328,WH/PRODUCTIE MAT PRIME FINITE,15
132i,E_200329,WH/PRODUCTIE MAT PRIME FINITE,15
133i,E_200330,WH/PRODUCTIE MAT PRIME FINITE,15
134i,E_200331,WH/PRODUCTIE MAT PRIME FINITE,15
135i,E_01079,WH/PRODUCTIE MAT PRIME FINITE,15
136i,E_200001,WH/PRODUCTIE MAT PRIME FINITE,15
137i,E_01080,WH/PRODUCTIE MAT PRIME FINITE,15
138i,E_200300,WH/PRODUCTIE MAT PRIME FINITE,6
139i,E_200301,WH/PRODUCTIE MAT PRIME FINITE,6
140i,E_200020,WH/PRODUCTIE MAT PRIME FINITE,30
141i,E_200304,WH/PRODUCTIE MAT PRIME FINITE,6
142i,E_200009,WH/PRODUCTIE MAT PRIME FINITE,14
143i,E_200007,WH/PRODUCTIE MAT PRIME FINITE,30
144i,E_00259,WH/PRODUCTIE MAT PRIME FINITE,20
145i,E_200008,WH/PRODUCTIE MAT PRIME FINITE,10
146i,E_200179,WH/PRODUCTIE MAT PRIME FINITE,32
147i,E_200232,WH/PRODUCTIE MAT PRIME FINITE,30
148i,E_200233,WH/PRODUCTIE MAT PRIME FINITE,30
149i,E_200230,WH/PRODUCTIE MAT PRIME FINITE,90
150i,E_200231,WH/PRODUCTIE MAT PRIME FINITE,105
151i,E_200229,WH/PRODUCTIE MAT PRIME FINITE,15
152i,E_200016,WH/PRODUCTIE MAT PRIME FINITE,61
