Nume_inventory,Product_ID,Depozit,Cantitatea
er,TROLLER H SPIN 68 CM,Usage,1
er,RUCSAC LAPTOP 14 INCI NEGRU,Usage,1
er,CASTI BT INK WIRELESS,Usage,1
er,ZTE BLADE L110 NEGRU,Usage,1
er,SCAUN BIROU ERGONOMIC HARRIS,Usage,1
er,LAPTOP LENOVO 10.1 ATOM X5,Usage,1
er,CASTI BANDA CAP FULL 30 MM CU MICROFON,Usage,1
er,TABLETA HUAWEI T3 WIFI 10 16 GB,Usage,1
er,TABLETA ARCHOS 3G 10.1,Usage,1
er,FRIGIDER MINIBAR 45 L,Usage,1
er,GEANTA BUSINESS,Usage,1
er,CASTI SKULLCANDY WIRELESS,Usage,1
er,LAPTOP ASUS I3 8 GB 256 SSD,Usage,1
er,BOXA JBL FLIP 5 ROSU,Usage,1
er,FOTOLIU POUF FRIX,Usage,2
er,MULTIFUNCTIONAL HP LASERJET MFP 130FN,Usage,1
er,EXPRESSOR NESPRESSO ESSENZA,Usage,1
er,BATERIE EXTERNA,Usage,1
er,STICK USB,Usage,1
er,MONITOR LED SAMSUNG 24 NEGRU,Usage,2
er,DOCKINK STATION LENOVO THINKPAD,Usage,1
er,TELEFON SAMSUNG GALAXY A20E 4GB RAM,Usage,1
er,MONITOR LED DELL 24 SE2417HGX,Usage,1
er,BIROU TEMPRA KTSS,Usage,9
er,RAFT BETTY,Usage,2
er,SCAUN BIROU ZEGA,Usage,1
er,SCAUN BIROU OFF 907 NEGRU,Usage,5
er,TABLA MAGNETICA  90*120 ACCESORII,Usage,2
er,PRELUNGITOR 3P 3M,Usage,2
er,PRELUNGITOR 3P 5M,Usage,2
er,ROUTER WIRELESS TP LINK,Usage,1
er,CUIER HAINE,Usage,1
er,NOPTIERA  2 SERTARE,Usage,3
er,BIROU KARUP 40*100,Usage,1
er,COMODA CU SERTARE,Usage,1
er,MASA LEMN MASIV,Usage,1
er,DULAP TIP 1,Usage,3
er,DULAP TIP 2,Usage,2
er,SCAUN ERGONOMIC,Usage,6
er,CUPTOR MICROUNDE HYUNDAI HY20MX81,Usage,1
er,VEIOZA BIROU,Usage,4
er,CHIUVETA GRANIT,Usage,1
er,CORP MASCA CHIUVETA,Usage,1
er,CORP INF 2 SERTARE,Usage,1
er,PRELUNGITOR 5P 1.5M,Usage,1
er,MONITOR LED HP 27 ULTRA SLIM,Usage,1
er,FRIGIDER 2 USI ARCTIC,Usage,1
er,COLT BIROU TEMPRA,Usage,2
er,MONITOR LED PHILIPS 23.8,Usage,1
er,TASTATURA BLUETOOTH,Usage,1
er,SCAUN OFF 907 NEGRU,Usage,3
er,STINGATOR P6,Usage,1
er,STINGATOR G2,Usage,2
er,TRUSA MEDICALA,Usage,1
er,CUPTOR MICROUNDE SAMSUNG,Usage,1
er,CASCA BLACKWIRE USB,Usage,1
er,STAMPILA,Usage,1
er,SUBLER ELECTRON,Usage,1
er,APARAT DE CURATAT CU ABURI KOENIG NV6200,Usage,1
er,ASPIRATOR HOOVER F SAC,Usage,1
er,SCARA SLIM 3 TREPTE,Usage,1
er,MASINA GAURIT 20 V,Usage,1
er,UNIVERSAL IMPACT 700 W,Usage,1
er,UNIVERSAL DRILL 18V,Usage,1
er,POLIZOR UNGHIULAR,Usage,1
er,MONITOR FULL HD DELL,Usage,1
