Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,code_uk,Descriere
GARNITURA 1/2 INCH (ETANSARE PE INEL) D19xD15x3 FS200,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00221,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
GARNITURA 3/8 inch D19xD15x3 CHHC-70-10R-30R,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00228,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ADAPTOR 3P, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00001,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ADAPTOR MICRO USB, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00002,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AGENDA/JURNAL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00003,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AGRAFE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00004,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ALONJA INDOSARIERE SET 10 BUC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00005,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ALONJE PLASTIC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00006,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ASCUTITOARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00007,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AUTOCOLANT AVERTIZARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00008,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA ADEZIVA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00009,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA AMBALARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00010,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA DE ACOPERIRE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00011,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA DUBLU ADEZIVA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00012,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA IZOLAT, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00013,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA MASCARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00014,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BLOC NOTES, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00015,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BOL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00016,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BURETE VASE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00017,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CABLU MICRO USB, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00019,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CAIET DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00020,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CARNET DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00021,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CARTUS IMPRIMANTA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00022,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CLIPBOARD, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00023,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COADA UNELTE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00024,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COLI HIDRO AC 100 BUC SET, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00025,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COPERTA A3 A4, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00027,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COTIERE SUDORI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00028,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CREION DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00029,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CREION MECANIC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00030,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CRETA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00031,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CUTTER, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00032,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DECAPSATOR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00033,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DEGRESANT, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00034,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DETARTRANT, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00035,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DETERGENT VASE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00036,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DIBLU, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00037,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DISC DEGRESARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00038,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DISC METAL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00039,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DISC TAIERE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00040,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DOSAR DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00041,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ETICHETE AUTOADEZIVE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00042,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
EXTENSIE FURTUN, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00043,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FARAS, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00044,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FARFURII UNICA FOL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00045,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FOARFECA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00046,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FOLIE DE STICLA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00047,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FOLIE LAMINARE A4, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00048,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FURTUN CU CAPAC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00050,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
GALEATA CU STORCATOR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00051,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
GLADE MICROSPRAY, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00052,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HARTIE IGIENICA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00053,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HARTIE XEROX, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00054,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HUSA LAPTOP NOTEBOOK, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00055,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HUSA TELEFON, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00056,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
INCARCATOR TELEFON, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00057,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
LAVETE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00058,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
LINIAR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00059,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
LIPICI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00060,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MANUSI LUCRU, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00061,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MAPA CARTON, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00062,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MARKER, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00063,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MASCA PROTECTIE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00064,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MATURA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00065,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MINA CREION, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00066,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MINA PIX, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00067,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MOB DISPOZITIV, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00068,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
