Nume,CUI,NRC,Adresa,Adresa2,Cod_postal,Oras,Tara,Judet,Telefon
KVT FASTENING GMBH,ATU22563508,,LINZ,,,LINZ,AT,,
ODOO SA,BE0477472701,,BRUSSELS,,,BRUSSELS,BE,,
HUBA CONTROL AG,CHE105939592TVA,,5436 WURENLOS,,,,CH,,
NINGBO BEILUN FOREIGN TRADE CO LTD,,,298 XINDA ROAD  BEULUN  NINGBO,,,BEULUN,CN,,
ANTEO GROUP SRO,CZ09282131,,BRNO,,,BRNO,CZ,,
CLEVERBRIDGE AG,DE244822460,,COLOGNE  GEREONSTR 43-65,,,COLOGNE,DE,,
POPPELMANN GMBH CO KG,DE117774215,,49393 LOHNE,,,LOHNE,DE,,
SIKA DR SIEBERT KUHN GMBH CO,DE113029634,,34260 KAUFUNGEN,,,,DE,,
FRESE A S,DK72361253,,SOROVEJ 8,,,,DK,,
WINNOVART LTD,GB190949077,,LONDON,,,LONDON,GB,,
EVINOX ENERGY LTD,,,BARWELL BUSINESS PARK,,,,GB,,
WIZZ AIR HUNGARY,HU13122605,,BUDAPEST  KOER UTCA 2A,,,BUDAPEST,HU,,
MICROSOFT IR IRELAND OPERATIONS LTD,IE8256796U,,DUBLIN,,,DUBLIN,IE,,
ADOBE SYSTEMS SOFTWARE IRELAND LTD,IE6364992H,,DUBLIN 24 4-6 RIVEWRWALK,,,DUBLIN,IE,,
LINKEDLN IRELAND UNLIMITED COMPANY,IE9740425P,,DUBLIN  GARDNER HOUSE  WILTON PLAZA,,,DUBLIN,IE,,
BLM SPA,IT01653120137,,VIA SELVAREGINA 30,,,,IT,,
OXYWELD SNC,IT01410780934,,VIA MEZZOMONTE 20,,,,IT,,
ZILIO INDUSTRIES SPA,IT03818300281,,36050 POZZOLEONE VIA SAGA VECCHIA,,,,IT,,
EMMETI SPA,IT04988370963,,VIA BRIGATA OSOPPO,,,,IT,,
GAMM SRL,IT06681180151,,via donizeti 8  mermezzo 20071,,,,IT,,
KIC INNOENERGY SE,,,EINDHOVEN  JOHN F KENNEDYLAAN,,,EINDHOVEN,NL,,
EBMPAPST HEATING SYSTEMS BV,,,Van Veldekekade 360,,,,NL,,
TASSERON SENSORS BV,,,AMBACHTHOF 50,,,,NL,,
WACLAW WIECHA,PL6791015997,,BRZESKO,,,,PL,,
GENERAL BUSINESS SYSTEM SRL,RO3329718,J40/15845/1992,,,,BUCURESTI ,RO,B,0214116150
INTELLIGENT IT SRL,RO18990059,J32/1274/2006,,,,SIBIU,RO,SB,0724253780
M & M EXPRESS SRL,RO21807926,J08/1438/2007,,,,BRASOV,RO,BV,0268310444
ALTEX ROMANIA SRL,RO2864518,J23/2611/2016,,,,VOLUNTARI,RO,B,0233210671
COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A.,RO477647,J23/1298/2003,,,,OTOPENI,RO,B,2014700
BIROU INDIVIDUAL NOTARIAL  BUZEA  VALERIA-DOINA,RO32497618,-/-/-,,,,BRASOV,RO,BV,0268320262
MICROSOFT ROM  IRELAND OPERATIONS LIMITED,RO31002907,-/-/-,,,,BUCURESTI ,RO,B,-
OMV PETROM MARKETING SRL,RO11201891,J40/10637/1998,,,,BUCURESTI ,RO,B,-
MARBCONT B.C.F. SRL,35470722,J08/129/2016,,,,BRASOV,RO,BV,0729763772
OPTIPLAZA SRL,RO15834225,J08/2039/2003,,,,BRASOV,RO,BV,0268429559
ORANGE ROMANIA SA,RO9010105,J40/10178/1996,,,,BUCURESTI ,RO,B,0213177919
YOLANS COM S.R.L.,RO3782688,J08/1089/1993,,,,BRASOV,RO,BV,0722320599
MASSIMO DUTTI RO SRL,RO22305995,J40/15913/2007,,,,BUCURESTI ,RO,B,0317309272
DNATA CATERING SRL,RO4339914,J23/1077/2001,,,,OTOPENI,RO,B,0744289991
OLIN FOODS SRL,RO15922238,J08/2268/2003,,,,BRASOV,RO,BV,0268473378
BISTRO DE LARTE SRL,RO31306469,J08/334/2013,,,,BRASOV,RO,BV,-
CEAINARIA BARBAT V. SRL,RO32627688,J08/7/2014,,,,SACELE,RO,BV,0368450145
DIRECT CLIENT SERVICES SRL,RO11648548,J40/3061/1999,,,,BUCURESTI ,RO,B,0213133329
COMPACT SA,RO1098692,J08/535/1991,,,,BRASOV,RO,BV,0722212396
LOREDAN CAR WASH S.R.L.,29143980,J08/1542/2011,,,,BRASOV,RO,BV,0740178850
JUICEOLOGY SRL,RO31933832,J40/8158/2013,,,,BUCURESTI ,RO,B,-
A4K SWED CONCEPT SRL,RO25406471,J23/859/2009,,,,OTOPENI,RO,IF,0745114431
XAVITEL SRL,RO17168891,J38/100/2005,,,,RAMNICU VALCEA ,RO,VL,0744777722
SHOES BY SHOES SRL,RO30069496,J08/563/2012,,,,BRASOV,RO,BV,0722592839
M & D RETAIL BRASOV SRL,RO13123595,J40/5740/2000,,,,BUCURESTI ,RO,B,0212421040
CASA MATERIALE DE CONSTRUCTII SRL,RO18327600,J12/263/2006,,,,DEJ,RO,CJ,0728274326
HORNBACH CENTRALA SRL,RO17777320,J23/699/2010,,,,DOMNESTI,RO,IF,0212061574
FIBE PHONE S.R.L.,39364635,J08/1181/2018,,,,BRASOV,RO,BV,0724127878
DANTE INTERNATIONAL SA,RO14399840,J40/372/2002,,,,VOLUNTARI,RO,B,0212038100
MOBIUP DISTRIBUTION SRL,RO26972622,J40/5350/2010,,,,BUCURESTI ,RO,B,076544032
FLANCO RETAIL SA,RO27698631,J23/513/2012,,,,VOLUNTARI,RO,B,0212038100
HOW TO WEB MEDIA SRL,RO18122850,J25/158/2007,,,,DROBETA TURNU SEVERIN ,RO,MH,0722399822
TUCANO C.M. SRL,RO34269861,J08/424/2015,,,,BRASOV,RO,BV,0725827177
MOTENASU PROJECT SRL,RO32562899,J40/15089/2013,,,,BUCURESTI ,RO,B,-
MEGA IMAGE SRL,RO6719278,J40/27872/1994,,,,BUCURESTI ,RO,B,0212246677
PARIOLI TRADE S.R.L.,RO6637496,J40/23870/1994,,,,BUCURESTI ,RO,B,2123689
AI SUSHI BAR SRL,RO36681892,J40/14170/2016,,,,BUCURESTI ,RO,B,-
MUSETTE EXIM SRL,RO2443,J40/8273/1992,,,,BUCURESTI ,RO,B,0744195788
MOL ROMANIA PETROLEUM PRODUCTS SRL,RO7745470,J12/729/2000,,,,CLUJ NAPOCA,RO,CJ,0264407600
SILDO SERV INVEST SRL,RO31607879,J29/701/2013,,,,PLOIESTI,RO,PH,-
ISTYLE RETAIL SRL,RO12331709,J40/9507/1999,,,,BUCURESTI ,RO,B,0755156360
TOTAL ANTHEIM SRL,RO34368717,J40/4528/2015,,,,BUCURESTI ,RO,B,-
KRASSCOM TRADING SRL,RO34111950,J27/429/2016,,,,SIBIU,RO,SB,-
DEANES PUB S.R.L.,RO29531183,J08/46/2012,,,,BRASOV,RO,BV,0729964496
CUCININO PASTA BAR S.R.L.,RO18845113,J08/1666/2006,,,,BRASOV,RO,BV,-
B ART RESTAURANTE SRL,RO36690998,J08/2242/2016,,,,BRASOV,RO,BV,-
COMTEL FOCUS SA,RO5223011,J23/2511/2002,,,,OTOPENI,RO,B,2114165
COMPANIA NATIONALA AEROPORTURI BUCURESTI S.A.,RO26490194,J23/401/2010,,,,OTOPENI,RO,B,0212013304
QUBE NET SRL,RO15116390,J40/111/2003,,,,BUCURESTI ,RO,B,0722408399
BIG POUF S.R.L.,41183673,J12/2230/2019,,,,CLUJ NAPOCA,RO,CJ,-
PCOK SERVICES SRL,RO32769445,J09/67/2014,,,,BRAILA,RO,BR,-
OFICIUL REGISTRULUI COMERTULUI DE PE LANGA TRIBUNALUL BRASOV,23665496,-/-/-,,,,BRASOV,RO,BV,0268311992
ADECCO RESURSE UMANE SRL,RO15739037,J40/12364/2003,,,,BUCURESTI ,RO,B,0311050959
KOLPING CONCEPT S.R.L.,RO13251098,J08/649/2000,,,,BRASOV,RO,BV,0745256697
URBANIA CORESI H1 S.R.L.,RO39248851,J40/5697/2018,,,,BUCURESTI ,RO,B,-
PICONET SRL,RO15955413,J35/2850/2003,,,,TIMISOARA,RO,TM,0724352785
CAD WORKS INTERNATIONAL SRL,RO16443187,J16/980/2004,,,,CRAIOVA,RO,DJ,0722327245
PROMO CRIS 2000 SRL,RO27242324,J30/439/2010,,,,SATU MARE,RO,SM,0261759245
SOFIMAT S.R.L.,RO16219580,J08/485/2004,,,,BRASOV,RO,BV,0268428000
ZEGA EVENTS SRL,RO32117891,J08/1199/2013,,,,CRISTIAN,RO,BV,0756939793
XACT CONSULTING SRL,RO15507118,J13/1854/2003,,,,CONSTANTA,RO,CT,0723178982
AUCHAN ROMANIA SA,RO17233051,J40/2731/2005,,,,BUCURESTI ,RO,B,0374810000
JYSK ROMANIA SRL,RO18107744,J40/15662/2013,,,,BUCURESTI ,RO,B,0732000600
LA FANTANA SRL,RO35534516,J40/1198/2016,,,,BUCURESTI ,RO,B,
PEPCO RETAIL SRL,RO31477663,J40/4655/2013,,,,BUCURESTI ,RO,B,0314050440
IKEA ROMANIA S.A.,RO17547941,J40/8161/2005,,,,BUCURESTI ,RO,B,0213088100
LEROY MERLIN ROMANIA SRL,RO16702141,J40/13616/2004,,,,BUCURESTI ,RO,B,
RCS & RDS SA,RO5888716,J40/12278/1994,,,,BUCURESTI ,RO,B,0314004440
COSTEA RADU -  MARIUS PERSOANA FIZICA AUTORIZATA,35803827,,,,,PLOIESTI,RO,,
MENDOLA PRO SRL,RO18560000,J12/1215/2006,,,,VLAHA,RO,CJ,0264207200
TEHNOSTING ECHIPAMENTE SRL,RO14552307,J08/399/2002,,,,BRASOV,RO,BV,0268708145
OFFICE MAX SRL,RO10839469,J40/7425/1998,,,,BUCURESTI ,RO,B,0215298855
TRODAT SRL,RO3969148,J40/5809/1993,,,,BUCURESTI ,RO,B,0213153948
ATALINE PROSISTEM SRL,RO26653127,J06/100/2010,,,,BISTRITA,RO,BN,0744170064
ROMRADIATOARE SA,RO1108834,J08/180/1991,,,,BRASOV,RO,BV,0268313500
EDENRED ROMANIA SRL,RO10696741,J40/5659/1998,,,,BUCURESTI ,RO,B,
BRICOSTORE ROMANIA SA,RO14328360,J40/9990/2001,,,,BUCURESTI ,RO,B,02140444111
ROMSTAL IMEX SRL,RO5990324,J40/14205/1994,,,,BUCURESTI ,RO,B,0213320901
S.T.C.CONSULT SRL,RO8693085,J08/1122/1996,,,,BRASOV,RO,BV,0722233686
SIGMA & SETI CONSULT SRL,RO32074170,J08/1142/2013,,,,BRASOV,RO,BV,loredanasolchea
CERTEXTRAS S.R.L.,42651152,,,,,TAUTII MAGHERAUS ,RO,,
UNIVERSAL GRUP SRL,RO11655499,J13/995/1999,,,,CONSTANTA,RO,CT,0241514195
ACTR PROD SRL,RO15018260,J08/1558/2002,,,,FAGARAS,RO,BV,0722312202
TRITON SRL,RO7424364,J13/1363/1995,,,,CONSTANTA,RO,CT,0241693210
LSD LOGIC S.R.L.,RO26544456,J32/106/2010,,,,SIBIU,RO,SB,
SOF SERVICE SRL,RO14872336,J40/8884/2002,,,,BUCURESTI ,RO,B,0213303454
GRANAT EVO S.R.L.,RO34641956,J40/11722/2020,,,,BUCURESTI ,RO,B,
DIGITAL OFFICE SUPPORT S.R.L.,43739237,,,,,SIBIU,RO,,
PLAMETCO SRL,RO5011434,J08/3731/1993,,,,SANPETRU,RO,BV,0268548095
ATG CONTACT SRL,RO31018679,J08/1958/2012,,,,HARMAN,RO,BV,0751224467
FEDEX EXPRESS ROMANIA TRANSPORTATION S.R.L.,RO1592989,J40/1428/1991,,,,BUCURESTI ,RO,B,0213034500
LIMEX TOTAL GROUP SRL,RO32966005,J08/480/2014,,,,PREJMER,RO,BV,0747925115
KASTOR  WACLAW  WIECHA,RO42353946,,,,,BUCURESTI ,RO,B,
QUADRA ELECTRIC S.R.L.,RO24866153,J40/20770/2008,,,,BUCURESTI ,RO,B,
HELVETICA SOLUTIONS SRL,RO9642411,J33/426/1997,,,,SUCEAVA,RO,SV,0722996868
PARCON FREIWALD SRL,RO31540205,J26/448/2013,,,,TG MURES,RO,MS,
ECOPAL DISTRIBUTION SRL,RO15833793,J03/1372/2003,,,,PITESTI,RO,AG,0747047000
TRADY 2000 SRL,RO12472171,J40/10781/1999,,,,BUCURESTI ,RO,B,3272902
MNS SYSTEMS S.R.L.,43910832,,,,,BRASOV,RO,BV,
AMIRAN PROJECT MANAGEMENT SRL,RO36871943,J40/16897/2016,,,,BUCURESTI ,RO,B,
ACT PROD CHIM S.R.L.,RO15186859,J40/1588/2003,,,,BUCURESTI ,RO,B,
MELINDA-IMPEX INSTAL SRL,RO15936519,J19/1063/2003,,,,ODORHEIUL SECUIESC ,RO,HR,0266207400
SCHIESSL FRIGOTEHNIC ROMANIA SRL,RO10770660,J12/1023/1998,,,,VALCELE,RO,CJ,0264284462
D.F.PALETA SYSTEM SRL,RO14205987,J08/973/2001,,,,PREJMER,RO,BV,0268335499
ANCU IONITASOFT DEVELOPMENT SRL-D,34687287,,,,,SACELE,RO,,
CONSULTIA SRL,RO17905748,J08/2129/2005,,,,BRASOV,RO,BV,0268321069
FAN COURIER EXPRESS SRL,RO13838336,J40/4014/2001,,,,BUCURESTI ,RO,B,0219336000
ALTIUS SRL,RO1106353,J08/1017/1992,,,,BRASOV,RO,BV,0268414458
FONTANA FASTENERS SRL,RO17094212,J08/1927/2005,,,,BRASOV,RO,BV,0268331138
LIDL DISCOUNT SRL,RO22891860,J29/3212/2007,,,,NEDELEA ,RO,PH,0721258311
DACHSER ROMANIA SRL,RO24056785,J40/10547/2008,,,,BUCURESTI ,RO,B,
DM DROGERIE MARKT SRL,RO20790729,J35/334/2007,,,,TIMISOARA,RO,TM,
DEDEMAN SRL,RO2816464,J04/2621/1992,,,,BACAU,RO,BC,0234513330
IN CONCORDEM R & G SRL,RO36837917,J08/2533/2016,,,,BRASOV,RO,BV,
DARK CLOUDS C & A SRL,14496576,J08/244/2002,,,,BRASOV,RO,BV,0726472071
POLICLINICA DE DIAGNOSTIC RAPID SA,RO4164790,J08/1945/1993,,,,BRASOV,RO,BV,068315115
CAMPACK SRL,RO15607214,J08/1383/2003,,,,BRASOV,RO,BV,
CANDEX FORKLIFTS SRL,RO34593689,J23/2337/2015,,,,AFUMATI,RO,B,
TOOLS CONCEPT SRL,RO27684270,J08/1241/2010,,,,BRASOV,RO,BV,0721224465
MARSIPO PROD SRL,RO10051311,J08/1716/1997,,,,BRASOV,RO,BV,0268328679
GEBO TOOLS SRL,RO32701504,J12/199/2014,,,,CLUJ NAPOCA,RO,CJ,
PRETEV TEHNOLOGII SRL,RO16097156,J40/1267/2004,,,,BUCURESTI ,RO,B,0722338698
INTERBABIS SRL,RO11622300,J08/327/1999,,,,BRASOV,RO,BV,0368436169
UPS ROMANIA SRL,RO13191000,J23/3972/2017,,,,OTOPENI,RO,IF,0213177919
TOP STRONG S.R.L.,RO28088917,J33/194/2011,,,,SUCEAVA,RO,SV,
SEA ROMANIA SRL,RO12472120,J40/10737/1999,,,,BUCURESTI ,RO,B,0723303027
FRAMEWORKS SRL,RO17523870,J40/7764/2005,,,,BUCURESTI ,RO,B,
HAMANN SRL,RO16273082,J08/625/2004,,,,BRASOV,RO,BV,0722547365
UTENSILI DA ITALIA SRL,RO28328564,J08/638/2011,,,,SANPETRU,RO,BV,0762205445
ROMPETROL DOWNSTREAM SRL,RO12751583,J40/1716/2000,,,,BUCURESTI ,RO,B,0212067500
RYWAL RHC ROMANIA SRL,RO31179110,J08/165/2013,,,,BRASOV,RO,BV,
SANTOREL S.R.L.,RO11055745,J08/1175/1998,,,,SANPETRU,RO,BV,0723545778
FREE-PACK SRL,RO30445426,J08/1094/2012,,,,SACELE,RO,BV,0760651862
MET-CHIM S.A.,RO1114062,J08/174/1991,,,,BRASOV,RO,BV,0268475272
ERATA IMPEX S.R.L.,RO5314527,J08/521/1994,,,,BRASOV,RO,BV,0268548038
