Nume,SKU,Unitate,Unitate_achizitie,Pret,Tip_produs,Categorie,Vanzare_ok,Achizitie_ok,Taxe,Taxe_achizitie
2 X PANZE FER VERT T 118G,EHCON00112,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"ALCOOL TEHNIC IZOPR. 0,5L",EHCON00113,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
AUTOCOLANT PVC (P+C),EHCON00114,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BATON CEARA LEMN ALB 22,EHCON00115,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BURETE DE VASE FINO - 3BUC / SET,EHCON00116,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BURETE ETANSEIZARE ALB 6,EHCON00117,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BURGHIU DIN 1897 D 10 HSSCO 1897-5,EHCON00118,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BURGHIU DIN 1897 D 11 HSSCO 1897-5,EHCON00119,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BURGHIU DIN 1897 D 13 HSSCO 1897-5,EHCON00120,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BURGHIU DIN 1897 D 5 HSSCO 1897-5,EHCON00121,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
BURGHIU DIN338 HSSE D5.0 SPB INOX 167717,EHCON00122,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
CAPACE ADEZIV MASCAR 40 ,EHCON00123,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
CLORAMINA BICLOSOL 200 TABLETE,EHCON00124,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
CONDICA DE PRE,EHCON00125,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
DEZINFECTANT MAINI ZHIVASEPT S 1L,EHCON00126,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
DILUANT 0.9 L,EHCON00127,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
DISC TAIERE INOX 115 X 1,EHCON00128,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"FILE PROTECTIE TRANSPARENTE, 60 MICRONI, 100BUC / SET OPTIMA EXTRA WIDE",EHCON00129,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"FILM INDEX AUTOADEZIV 45 X 25 MM, STICK'N (CU DISPENCER) VERDE",EHCON00130,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"FILM INDEX AUTOADEZIV 45 X 25MM, STICK'N (CU DISPENCER) GA",EHCON00131,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
GLADE ODOR BAIE REZERVA,EHCON00132,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
HANDY SAPUN LICHID CLOVIN COCOS 5L,EHCON00133,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"MAPA PLASTIC A4, CU CAPSA SI CLAPETA IN V ROSU TRANSP",EHCON00134,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
NOTES AUTOADEZIV ,EHCON00135,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
PANZE T111C T244D T118B,EHCON00136,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
PASTA DE CURATAT 450G,EHCON00137,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
PEE 1000MM X 2MM,EHCON00138,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
PLATINET VENTILATOR,EHCON00139,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
POLISTIREN BAUDEMAN EPS80 G2 0.5X1,EHCON00140,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
PRENADEZ STICKY,EHCON00141,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
PROSOP HARTIE SANO MONOROLA 100M,EHCON00142,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"PUNGI ZIPLOCK, 70 X 100 MM - 100 BUC / SET VELOFLEX",EHCON00143,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"RIBON ETICHETE TSC/WAX/RESIN 110mmX300m, 35-S110300-20CC",EHCON00144,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
"ROLA ETICHETE TT 58X43mm, DIAM 40mm, 1000buc/ROLA",EHCON00145,Units,Units,,product,Alte mat. Consumabile,0,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri
