Nume,Descriere,Categorie,Pret,Cost,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,Tip_produs
"3/4""Fx3/4""M BYPASS FITTING WITH BINDING POINTS",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,BV3405,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
" 3/4"" WASHER (24X16X3)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00010,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"3/4""x3/4"" EXTENDED ISOLATION VALVE (RED HANDLE)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,BV3402,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"3/4""x3/4"" ISOLATION VALVE (RED HANDLE)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,BV3401,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"3/4""x3/4"" STRAINER ISOLATION VALVE (M) (RED HANDLE)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,BV3403M,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ABUS CILINDRU D6PSN40/40,,Obiecte de inventar,1.0,71.34,True,True,Units,Units,,OBI00002,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ABUS CILINDRU D6PSN45/45,,Obiecte de inventar,1.0,75.55,True,True,Units,Units,,OBI00003,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"ACTUATOR ELECTROVALVA HONEYWELL CU 3 CAI (1"")_VC6012ZZ00/U (cu EVI_00290; inlocuieste EVI_00055)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00286,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ACTUATOR HONEYWELL 3/4 INCH CU 3 CAI VC6012_200-240V/50-60HZ_35PS0035,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00408,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Actuator Honeywell vc4013zz00/u (VC4013-02 (=un actuator 6 secunde cu un cablu atasat) ),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00423,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ACTUATOR LINEAR CONTROL VALVE_VA7482E,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00135,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ACTUATOR LIN with MOLEX CONNECTOR_24V-10V ( pt. Valvele Frese ),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00264,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ACTUATOR THERMAL 4MM 230V NO_MT4-230-NO 4019837107291 (Honeywell),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00473,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ACTUATOR THERMAL 8MM 230V_MT8-230-NC ( Honeywell ),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00204,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR ALAMA G3/4 inch-R1/2 inch_43-2330_Frese (EVI_00382; 383),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00384,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"ADAPTOR CU 28x1""(25.04mm)-alama",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00526,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR G3/4 INCH_D22,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00293,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR LINEAR CONTROL VALVE_6400800220C,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00138,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR M G3/4 inch_F G1-1/4 inch,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00647,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR M G3/4 inch_F G1-1/4 inch_HEX 46x29 (Prelungitor; Honeywell 2 cai) ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,FAB_00001,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR PENTRU SENZOR HUBA _963008010,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00129,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR PENTRU VAS DE EXPANSIUNE PLAT FS (3/4-3/8)_9760200010 (Reductie NM3/4-F3/8),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00150,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR PETTINAROLI IN FRESE F G1 inch-M G3/4 inch,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00649,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ADAPTOR PETTINAROLI IN FRESE G3/4 inch,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00648,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
