Product_ID,Cantitatea,Pret,Value
TROLLER H SPIN 68 CM,1,350,350
RUCSAC LAPTOP 14 INCI NEGRU,1,569,569
CASTI BT INK WIRELESS,1,179.390,179.39
ZTE BLADE L110 NEGRU,1,233.220,233.22
SCAUN BIROU ERGONOMIC HARRIS,1,257.600,257.6
LAPTOP LENOVO 10.1 ATOM X5,1,1793.92,1793.92
CASTI BANDA CAP FULL 30 MM CU MICROFON,1,119.99,119.99
TABLETA HUAWEI T3 WIFI 10 16 GB,1,599.9,599.9
TABLETA ARCHOS 3G 10.1,1,499.99,499.99
FRIGIDER MINIBAR 45 L,1,309.99,309.99
GEANTA BUSINESS,1,809.1,809.1
CASTI SKULLCANDY WIRELESS,1,229,229
LAPTOP ASUS I3 8 GB 256 SSD,1,1749.99,1749.99
BOXA JBL FLIP 5 ROSU,1,429.59,429.59
FOTOLIU POUF FRIX,2,284.5,569
MULTIFUNCTIONAL HP LASERJET MFP 130FN,1,701.84,701.84
EXPRESSOR NESPRESSO ESSENZA,1,385.99,385.99
BATERIE EXTERNA,1,179,179
STICK USB,1,69,69
MONITOR LED SAMSUNG 24 NEGRU,2,503.36,1006.72
DOCKINK STATION LENOVO THINKPAD,1,798.31,798.31
TELEFON SAMSUNG GALAXY A20E 4GB RAM,1,594.08,594.08
MONITOR LED DELL 24 SE2417HGX,1,453.77,453.77
BIROU TEMPRA KTSS,6,284.315,1705.89
RAFT BETTY,2,234.45,468.9
SCAUN BIROU ZEGA,1,83.19,83.19
SCAUN BIROU OFF 907 NEGRU,5,235,1175
TABLA MAGNETICA  90*120 ACCESORII,2,133.6,267.2
PRELUNGITOR 3P 3M,1,36.13,36.13
PRELUNGITOR 3P 5M,1,57.13,57.13
ROUTER WIRELESS TP LINK,1,184.03,184.03
CUIER HAINE,1,113.45,113.45
NOPTIERA  2 SERTARE,3,147.06,441.18
BIROU KARUP 40*100,1,105.04,105.04
COMODA CU SERTARE,1,252.1,252.1
MASA LEMN MASIV,1,672.27,672.27
DULAP TIP 1,2,294.12,588.24
DULAP TIP 2,2,252.1,504.2
SCAUN ERGONOMIC,6,193.276666666667,1159.66
PRELUNGITOR 3P 3M,1,36.13,36.13
PRELUNGITOR 3P 5M,1,38.64,38.64
CUPTOR MICROUNDE HYUNDAI HY20MX81,1,205.04,205.04
VEIOZA BIROU,4,66.9325,267.73
CHIUVETA GRANIT,1,444.54,444.54
CORP MASCA CHIUVETA,1,284.87,284.87
CORP INF 2 SERTARE,1,293.28,293.28
PRELUNGITOR 5P 1.5M,1,23.52,23.52
MONITOR LED HP 27 ULTRA SLIM,1,714.28,714.28
FRIGIDER 2 USI ARCTIC,1,731.92,731.92
COLT BIROU TEMPRA,2,210.085,420.17
MONITOR LED PHILIPS 23.8,1,415.91,415.91
TASTATURA BLUETOOTH,1,75.62,75.62
SCAUN OFF 907 NEGRU,3,235,705
STINGATOR P6,1,82,82
STINGATOR G2,2,108,216
TRUSA MEDICALA,1,147,147
CUPTOR MICROUNDE SAMSUNG,1,335.29,335.29
CASCA BLACKWIRE USB,1,193,193
STAMPILA,1,200,200
SUBLER ELECTRON,1,100.84,100.84
APARAT DE CURATAT CU ABURI KOENIG NV6200,1,421,421
ASPIRATOR HOOVER F SAC,1,241.82,241.82
SCARA SLIM 3 TREPTE,1,184.03,184.03
MASINA GAURIT 20 V,1,142.02,142.02
UNIVERSAL IMPACT 700 W,1,250.42,250.42
UNIVERSAL DRILL 18V,1,334.45,334.45
POLIZOR UNGHIULAR,1,199.76,199.76
MONITOR FULL HD DELL,1,635.64,635.64
TABLA MAGNETICA 120*240,1,419.33,419.33
CASCA CALL CENTER PLANTRONICS,3,180.953333333333,542.86
SAMSUNG GALAXY A52 128 GB,2,1310.32,2620.64
SAMSUNG GALAXY S20FE 5G 128 GB,1,1612.74,1612.74
APPLE 12 MINI 64 GB 5G,1,1915.11,1915.11
COS GUNOI 15 L,1,42.02,42.02
RAFT METALIC 5 POL,2,163.865,327.73
LAMPA GAZ PIEZO,1,75.21,75.21
CLESTE BANDA PES H 22R,1,369.5,369.5
BUCLE METALICE 16 MM,1,118.24,118.24
TRANSPALETA MANUALA LIFTTEX BASIC,1,903.36,903.36
BATERIE BTQR50 AKKU NIETER LI ION,4,2159.15,8636.6
MANDRIN M4X55,1,71.5,71.5
MANDRIN M5X55,1,71.5,71.5
MANDRIN M8X60,1,71.5,71.5
SCARA CU 2 FETE PROFI 4X2 TREPTE 2.8 M,2,156.84,313.68
RAFT IND PROFESIONAL 2160*1400*700,5,777.924,3889.62
LAMINATOR SI TRIMMER OLYMPIA,1,142.86,142.86
CHEIE FIXA SIMPLA 10,2,3.77,7.54
CHEIE FIXA SIMPLA 14,2,5.63,11.26
CHEIE FIXA SIMPLA 30,2,18.64,37.28
CHEIE FIXA SIMPLA 36,2,22.51,45.02
CHEIE FIXA AUTO 21X23,2,16.27,32.54
CHEIE FIXA AUTO 27X29,2,24.51,49.02
SCAUN PT ATELIER REGLABIL HBM,1,252.91,252.91
RAFT IND PROFESIONAL 2160*1400*700,5,781.488,3907.44
PUBELA 120 L,1,91.18,91.18
BANC LUCRU,6,911.36,5468.16
 TERMOMETRU 3G,2,42.01,84.02
CAP DE TRAGERE 10 MM,1,1064.7,1064.7
CAP DE TRAGERE 15 MM,1,1123.6,1123.6
CAP DE TRAGERE 18 MM,1,1191.56,1191.56
CAP DE TRAGERE 22 MM,1,1409.03,1409.03
COTIERE SUDOR PIELE,2,21.86,43.72
MANUSI IGNIFUGE PIELE,2,10,20
OCHELARI NEW LINE POLICARBONAT,16,3.85,61.6
SORT SUDOR PIELE,2,55.8,111.6
MANUSI PIELE DUBLA INTARITURA,16,5.92,94.72
CHEIE FIXA SIMPLA 10,2,3.77,7.54
CHEIE FIXA SIMPLA 30,4,18.64,74.56
CHEIE FIXA SIMPLA 36,4,22.52,90.08
CHEIE FIXA SIMPLA 24,2,13.23,26.46
CHEIE FIXA 21X23,4,11.44,45.76
MONITOR DELL LED GAMING 23.8 FULL HD GRI,2,492.775,985.55
DOCKING STATION LENOVO THINKPAD,1,612.53,612.53
FLIPCHART MAGNETIC 100*70,1,367.23,367.23
MASINA GAURIT INSURUBAT,1,536.12,536.12
TAMBUR 4P 25 M 3000W,1,96.64,96.64
MENGHINA DE BANC 10,1,74.79,74.79
MENGHINA DE BANC 12,1,83.19,83.19
TOPEX CHEIE TEVI 45 420M,1,47.06,47.06
MENGHINA RAPIDA 150 MM,2,25.125,50.25
MENGHINA DE BANC 60,1,22.69,22.69
CUTIE GRI PLATIC 400*300*120 SET 16 CUTII,1,480.27,480.27
CUTIE GRI PLATIC 600*400*1200 SET 8 CUTII,2,359.5,719
CUTIE GRI PLASTIC 100*160*75 SET 24 CUTII,1,228.44,228.44
JAWS KVT,2,133.915,267.83
STALPISOR TELESCOPIC PENTRU RAMA,10,4.871,48.71
